name,tickets,order_success_rate,avg_resolution_time
"Bartoletti, Zieme and Hahn",145,33.09,3.0
Luettgen Inc,276,72.7,1.9
"Wiza, Kiehn and Kirlin",232,29.98,5.2
Kunde Group,270,16.19,8.3
Ziemann and Sons,37,81.95,9.3
Corkery-Donnelly,104,48.35,3.1
Raynor Group,211,1.96,6.3
Cartwright-Grady,261,99.59,6.7
Farrell-Howe,152,0.99,3.1
Sipes-Ratke,81,4.87,6.4
Kunze LLC,85,22.18,4.2
"Huel, Rath and Williamson",262,35.54,4.6
"Robel, Watsica and Crist",230,46.42,6.3
"Wolf, Williamson and Grimes",238,45.34,7.7
Beatty-Ryan,151,71.48,2.9
West and Sons,228,78.03,0.9
Howell-Homenick,297,67.24,4.9
Swaniawski LLC,193,85.08,2.2
Kessler-Nolan,276,47.4,8.9
Orn-McGlynn,221,25.23,4.8
Abbott-Cassin,43,1.7,9.1
"Fay, Bayer and Berge",255,54.34,1.3
Smitham and Sons,149,10.08,1.9
"Lebsack, Boehm and Zboncak",64,58.07,9.3
Pfeffer LLC,167,6.65,0.2
Crist and Sons,183,40.6,4.5
"Hermiston, Towne and Dibbert",202,17.96,3.9
"Heller, Rice and Mann",29,46.55,4.6
Mohr-Runolfsson,26,73.5,3.8
Hansen-Schulist,214,3.34,6.3
Wunsch-Wunsch,273,10.48,6.7
"Gleason, Steuber and Abernathy",99,27.03,9.4
Abbott LLC,219,4.61,1.3
Renner LLC,132,34.69,1.3
"Grady, Hills and McKenzie",72,30.51,6.6
"Gutkowski, Bednar and McKenzie",59,37.64,6.4
"Wiza, Bailey and Lemke",225,59.99,7.7
Kunze and Sons,35,11.33,3.0
Halvorson and Sons,210,81.39,4.8
Durgan and Sons,158,95.97,0.6
Keebler LLC,102,71.33,2.6
"Moore, Price and Purdy",255,29.65,8.9
"Miller, Turner and Schaefer",300,81.29,8.1
"Rice, Kiehn and Abbott",4,61.33,1.6
Swift-McCullough,75,43.46,5.4
"Zieme, Harvey and Kerluke",7,53.75,8.1
Cole-Becker,281,53.68,4.2
Hoeger-Price,249,31.71,7.8
Bins Group,70,42.98,9.5
Kuhlman Group,109,22.76,3.3
"Kertzmann, Anderson and Herzog",243,51.77,8.3
"Nienow, Schneider and Corkery",204,40.82,7.1
Tremblay-Wilderman,113,4.34,0.3
"Romaguera, Maggio and Ondricka",292,1.47,8.5
Hane and Sons,203,28.69,1.7
Okuneva and Sons,62,21.62,0.5
"Yost, Spinka and Pollich",154,15.62,6.2
Davis and Sons,92,16.05,6.0
"Zulauf, Rodriguez and Block",34,67.61,9.0
Hamill-Veum,232,77.46,5.5
"Herzog, Walker and McLaughlin",211,87.85,4.2
Crooks-Wunsch,125,99.99,8.3
Durgan-Corwin,251,19.3,5.5
Schneider-Olson,291,90.74,6.1
"Kessler, Kshlerin and Champlin",247,54.31,9.7
Romaguera Inc,292,36.87,5.3
"Dare, Medhurst and Pfannerstill",78,15.11,3.3
Boyle LLC,133,77.88,8.8
Nicolas Group,126,11.58,1.3
Thiel Group,16,72.05,1.8
"MacGyver, Runte and Schimmel",62,96.19,6.1
Abshire-Hettinger,193,37.62,6.5
Schowalter LLC,27,6.51,4.0
Nitzsche and Sons,296,11.52,9.3
"Kreiger, Schulist and Parker",289,0.82,6.5
Raynor Inc,116,36.39,1.3
Jakubowski-Fay,66,10.53,1.8
Lynch Group,58,10.59,3.1
Dietrich and Sons,296,56.98,8.9
"Davis, Kreiger and Schumm",109,16.5,5.0
"Bosco, Schuster and Ernser",24,29.8,5.6
"Parker, Kihn and O'Hara",144,5.8,7.0
"Stamm, Botsford and Becker",165,86.43,9.6
"Ziemann, Hahn and Raynor",65,37.71,1.3
"Cole, Gerhold and Hegmann",167,37.19,8.3
Kuhic-Bogisich,197,43.14,2.3
Cummerata Group,122,4.67,4.0
"Weimann, Maggio and Krajcik",202,70.67,7.2
Hudson-Bernhard,94,75.9,0.2
Koelpin Group,21,15.04,2.2
Wolf-Corwin,173,67.82,7.4
Kuhlman Group,274,70.99,9.6
Effertz-Tillman,253,68.21,0.2
Stokes Inc,71,30.93,2.4
"Becker, King and Roberts",88,15.39,3.2
Nicolas LLC,282,48.26,8.2
Bergstrom Group,232,54.12,8.0
Kris Group,158,42.82,6.9
Parisian-Glover,267,13.38,3.3
